2.002616,100,1,486,5,5,5,376,122
2.005594,100,1,486,5,5,10,511,128
2.000814,100,1,486,5,5,15,675,277
2.000197,100,1,486,5,5,20,661,518
2.000031,100,1,486,5,5,25,708,560
2.000060,100,1,486,5,5,30,700,234
2.000409,100,1,486,5,5,35,1079,74
2.001446,100,1,486,5,5,40,1051,166
2.003452,100,1,486,5,5,5,484,397
2.002267,100,1,486,5,5,10,729,432
2.002909,100,1,486,5,5,15,632,177
2.002947,100,1,486,5,5,20,941,162
2.001707,100,1,486,5,5,25,935,218
2.000123,100,1,486,5,5,30,712,342
2.001874,100,1,486,5,5,35,1132,82
2.000387,100,1,486,5,5,40,831,539
2.000144,100,1,486,5,10,5,481,309
2.001130,100,1,486,5,10,10,547,369
2.001478,100,1,486,5,10,15,848,156
2.000798,100,1,486,5,10,20,684,221
2.002170,100,1,486,5,10,25,927,617
2.003075,100,1,486,5,10,30,965,218
2.000283,100,1,486,5,10,35,650,211
2.006615,100,1,486,5,5,5,386,119
2.003625,100,1,486,5,5,10,704,397
2.001204,100,1,486,5,5,15,918,384
2.000115,100,1,486,5,5,20,935,426
2.000540,100,1,486,5,5,25,759,686
2.001743,100,1,486,5,5,30,745,407
2.000583,100,1,486,5,5,35,786,332
2.002261,100,1,486,5,5,40,1083,166
2.000045,100,1,486,5,5,5,368,482
2.003233,100,1,486,10,10,10,386,322
2.004947,100,1,486,10,10,10,395,202
2.001487,100,1,486,10,10,10,507,360
2.001805,100,1,486,10,10,10,404,125
2.003000,100,1,486,10,10,10,388,228
2.004555,100,1,486,10,10,10,526,218
2.000209,100,1,486,10,10,10,388,426
2.000185,100,1,486,10,10,10,532,82
2.001335,100,1,486,10,10,10,488,441
2.001947,100,1,486,10,10,10,530,426
2.001644,100,1,486,10,10,20,634,432
2.000754,100,1,486,10,10,20,594,251
2.001708,100,1,486,10,10,20,463,387
2.000167,100,1,486,10,10,20,619,520
2.000911,100,1,486,10,10,20,595,174
2.000921,100,1,486,10,10,20,411,211
2.003862,100,1,486,10,10,20,449,673
2.001986,100,1,486,10,10,20,612,303
2.000792,100,1,486,10,10,20,589,581
2.004031,100,1,486,10,10,20,467,172
2.005206,100,1,486,10,10,30,674,162
2.002471,100,1,486,10,10,30,644,365
2.001274,100,1,486,10,10,30,671,166
2.000512,100,1,486,10,10,30,505,495
2.002891,100,1,486,10,10,30,652,365
2.001935,100,1,486,10,10,30,647,609
2.002435,100,1,486,10,10,30,652,405
2.002064,100,1,486,10,10,30,665,174
2.002677,100,1,486,10,10,30,655,187
2.001770,100,1,486,10,10,30,496,391
2.000153,100,1,486,10,10,40,504,134
2.002700,100,1,486,10,10,40,693,174
2.001496,100,1,486,10,10,40,688,187
2.001505,100,1,486,10,10,40,648,343
2.002962,100,1,486,10,10,40,677,588
2.000732,100,1,486,10,10,40,445,161
2.003162,100,1,486,10,10,40,459,175
2.004561,100,1,486,10,10,40,524,476
2.001466,100,1,486,10,10,40,665,428
2.002424,100,1,486,10,10,40,709,82
2.000241,100,1,486,10,20,10,388,105
2.001704,100,1,486,10,20,10,517,520
